0: [0.0, 0.0, 0.0, 0.0], [2, 128MB, 4GB, 4MB]
1: [0.5, 0.9581393536837052, 0.35781726995786667, 1.0], [5, 23GB, 13GB, 1GB]
2: [0.7127020269829002, 0.0014293404528871179, 0.5030831653078097, 3.712534819257523e-21], [6, 162MB, 17GB, 4MB]
3: [0.8826411906361166, 2.0008499794065687e-13, 0.07538124164297655, 2.0220070661488698e-29], [7, 128MB, 5GB, 4MB]
4: [0.6513781432265774, 1.2051987610492499e-17, 0.31683612216887125, 0.8691273895612258], [6, 128MB, 12GB, 890MB]
5: [7.581859051697393e-08, 0.14376682451456457, 0.7045813081895725, 4.417528835248923e-30], [2, 3GB, 22GB, 4MB]
6: [0.44214075540417663, 0.0598092227798519, 1.1790244091951773e-24, 6.53700107980272e-32], [5, 1GB, 4GB, 4MB]
7: [0.5946247799344488, 0.04332406269480349, 0.329668445620915, 3.608544680439751e-33], [6, 1GB, 12GB, 4MB]
8: [5.97717644268414e-08, 0.5659446430505314, 3.959774580705648e-21, 0.9121228864331543], [2, 13GB, 4GB, 934MB]
9: [0.9920814661883615, 0.7919641352916398, 2.646367758695019e-27, 0.47809379567067456], [8, 19GB, 4GB, 491MB]
10: [5.667513391927059e-08, 1.0235898500327023e-14, 9.448442274112115e-22, 1.1217267201173708e-28], [2, 128MB, 4GB, 4MB]
11: [0.12394270048696299, 6.9884025561577686e-15, 0.5873036334639846, 3.000216440705556e-26], [3, 128MB, 19GB, 4MB]
12: [1.7242175090359524e-05, 1.5088295413079322e-07, 0.4167535378026932, 0.006208516587129398], [2, 128MB, 14GB, 10MB]
13: [0.39876803755760193, 0.42003437876701355, 0.9181980753805731, 0.7059975650817732], [4, 10GB, 27GB, 724MB]
14: [0.5178102254867554, 0.8310069924335378, 0.4383098811224275, 0.0055604795925319195], [5, 19GB, 15GB, 9MB]
15: [0.5282242775850605, 0.4803591785100161, 0.9861739277839661, 0.8192020670641583], [5, 11GB, 29GB, 839MB]
16: [0.5071857571601868, 0.7671166283794725, 0.7968671837251966, 0.9658365319921276], [5, 18GB, 24GB, 989MB]
17: [0.5882301330566406, 0.2550397217273712, 0.11406569874266248, 0.32570741442534723], [6, 6GB, 6GB, 336MB]
18: [0.5958080887794495, 0.41835251450538635, 0.8790691615146757, 0.8039842247962952], [6, 10GB, 26GB, 824MB]
19: [0.5776673555374146, 0.4244730770587921, 0.7065281631717975, 0.9000878368097077], [5, 10GB, 22GB, 922MB]
20: [0.5991547806042924, 0.18689168989658356, 0.9950628876686096, 0.40998056530952454], [6, 4GB, 29GB, 422MB]
21: [0.07334254363261816, 0.30829882621765137, 0.48846495151519775, 0.8538985671256417], [2, 7GB, 16GB, 874MB]
22: [0.5880839228630066, 0.27114760875701904, 0.99993896484375, 0.17949786946939184], [6, 6GB, 29GB, 187MB]
23: [0.5726647973060608, 0.00934857450024451, 0.9772414309225871, 0.08477384339419014], [5, 356MB, 29GB, 90MB]
24: [0.6030534505844116, 0.14243537334181722, 0.994850218296051, 0.05119677260518074], [6, 3GB, 29GB, 56MB]
25: [0.6677869061450377, 0.1568181961774826, 0.999973714351654, 0.782477992600202], [6, 3GB, 29GB, 802MB]
26: [0.9144031132693238, 0.5683675815729324, 1.0, 0.9521954098154773], [7, 13GB, 30GB, 975MB]
27: [0.9935673628631737, 0.5451221661797199, 1.0, 0.9732647911186689], [8, 13GB, 30GB, 996MB]
28: [0.36607449772047085, 0.7096938490867615, 0.21563406298839582, 0.3656190873671856], [4, 17GB, 9GB, 376MB]
29: [0.7827355919753762, 0.6227765866031991, 1.0, 0.7120969869436473], [7, 14GB, 30GB, 730MB]
30: [0.4663071036338806, 0.6749316453933716, 0.999999463558197, 0.4755665730836416], [5, 16GB, 29GB, 489MB]
31: [0.5756455063819885, 0.12620532161439946, 0.9928388595581055, 0.1270293935724024], [5, 3GB, 29GB, 133MB]
32: [0.5659099817276001, 0.10310443885564724, 0.9455532358421244, 0.881232246338927], [5, 2GB, 28GB, 902MB]
33: [0.9304865334026656, 0.7166778860553562, 1.0, 0.9874704480171204], [8, 17GB, 30GB, 1011MB]
34: [0.6341233849525452, 0.16547085344791412, 0.9977892637252808, 0.5092724471639539], [6, 4GB, 29GB, 523MB]
35: [0.6303144424842815, 0.18021899461746216, 0.9999106526374817, 0.0050646718591451645], [6, 4GB, 29GB, 9MB]
36: [0.5369890928268433, 0.37342370735353736, 0.9999852776527405, 0.873276070344208], [5, 9GB, 29GB, 894MB]
37: [0.6576234698295593, 0.35782695934169106, 0.9999982714653015, 0.0041574896313250065], [6, 8GB, 29GB, 8MB]
38: [0.6162158250808716, 0.13537853956222534, 0.7556861489509374, 0.3764041595819979], [6, 3GB, 23GB, 387MB]
39: [0.5536286234855652, 0.3993878960609436, 0.9011395352502948, 0.4142426550388336], [5, 9GB, 27GB, 426MB]
40: [0.5670439600944519, 0.2682977616786957, 0.9920159578323364, 0.10646052201186085], [5, 6GB, 29GB, 112MB]
41: [0.5961107611656189, 0.1997825652360916, 0.0226804761247833, 0.3063372028662724], [6, 4GB, 4GB, 316MB]
42: [0.5632751101398661, 0.20413506031036377, 0.9920223951339722, 0.18326634939267783], [5, 4GB, 29GB, 190MB]
43: [0.6123674294689488, 0.20162717998027802, 0.686180075331102, 0.07783655822277069], [6, 4GB, 21GB, 83MB]
44: [0.8564774570595708, 0.6923451434159611, 0.9998811483383179, 0.6647433339043061], [7, 16GB, 29GB, 682MB]
45: [0.5997442007064819, 0.238898366689682, 0.9882896542549133, 0.4041692018508911], [6, 5GB, 29GB, 416MB]
