0: [0.0, 0.0, 0.0, 0.0], [2, 128MB, 4GB, 4MB]
1: [0.5, 0.9581393536837052, 0.35781726995786667, 1.0], [5, 3GB, 4GB, 30MB]
2: [0.7127020269829002, 1.0, 0.5030831653078097, 1.0], [6, 4GB, 5GB, 30MB]
3: [0.8826411906361166, 1.0, 0.07538124164297655, 1.0], [7, 4GB, 4GB, 30MB]
4: [0.6513781432265774, 1.0, 0.31683612216887125, 0.8691273895612258], [6, 4GB, 4GB, 26MB]
5: [0.9999996423721313, 0.14376682451456457, 0.7045813081895725, 1.0], [8, 698MB, 5GB, 30MB]
6: [0.44214075540417663, 0.0598092227798519, 1.0, 1.0], [5, 365MB, 6GB, 30MB]
7: [0.5946247799344488, 0.04332406269480349, 0.329668445620915, 1.0], [6, 299MB, 4GB, 30MB]
8: [0.9999996423721313, 0.5659446430505314, 1.0, 0.9121228864331543], [8, 2GB, 6GB, 27MB]
9: [0.9920814661883615, 0.7919641352916398, 1.0, 0.47809379567067456], [8, 3GB, 6GB, 16MB]
10: [0.9999997019767761, 1.0, 1.0, 1.0], [8, 4GB, 6GB, 30MB]
11: [0.12394270048696299, 1.0, 0.5873036334639846, 1.0], [3, 4GB, 5GB, 30MB]
12: [0.9999985694885254, 1.0, 0.4167535378026932, 0.006208516587129398], [8, 4GB, 4GB, 4MB]
13: [0.6809896230697632, 0.13293203711509705, 0.9181980753805731, 0.7059975650817732], [6, 655MB, 5GB, 22MB]
14: [0.5232212543487549, 0.8310069924335378, 0.4383098811224275, 1.0], [5, 3GB, 4GB, 30MB]
15: [0.5282242775850605, 0.4803591785100161, 0.9998540282249451, 0.8192020670641583], [5, 1GB, 5GB, 25MB]
16: [0.7051181793212891, 0.7671166283794725, 0.7968671837251966, 0.9658365319921276], [6, 3GB, 5GB, 29MB]
17: [0.6827203035354614, 0.3281469941139221, 0.11406569874266248, 0.32570741442534723], [6, 1GB, 4GB, 12MB]
18: [0.6536626219749451, 0.17137008905410767, 0.8790691615146757, 1.0], [6, 807MB, 5GB, 30MB]
19: [0.7138867378234863, 0.15386921167373657, 0.7065281631717975, 0.9000878368097077], [6, 738MB, 5GB, 27MB]
20: [0.5991547806042924, 0.03522879630327225, 0.11038798838853836, 0.999998152256012], [6, 267MB, 4GB, 29MB]
21: [0.07334254363261816, 0.6052491068840027, 0.9958171248435974, 0.8538985671256417], [2, 2GB, 5GB, 26MB]
22: [0.2834738492965698, 0.4342721104621887, 0.9792778491973877, 0.17949786946939184], [4, 1GB, 5GB, 8MB]
23: [0.3012517988681793, 0.00934857450024451, 0.9772414309225871, 0.08477384339419014], [4, 165MB, 5GB, 6MB]
24: [0.18622823059558868, 0.14243537334181722, 0.6224435567855835, 1.0], [3, 693MB, 5GB, 30MB]
25: [0.6677869061450377, 0.10388662666082382, 0.20082248747348785, 0.782477992600202], [6, 540MB, 4GB, 24MB]
26: [0.9144031132693238, 0.5683675815729324, 0.38002121448516846, 0.9521954098154773], [7, 2GB, 4GB, 28MB]
27: [0.9935673628631737, 0.5451221661797199, 0.07194577157497406, 0.9732647911186689], [8, 2GB, 4GB, 29MB]
28: [0.36607449772047085, 0.28261664509773254, 0.21563406298839582, 0.3656190873671856], [4, 1GB, 4GB, 13MB]
29: [0.7827355919753762, 0.6227765866031991, 0.13182969391345978, 0.7120969869436473], [7, 2GB, 4GB, 22MB]
30: [0.34246692061424255, 0.46249040961265564, 0.9590253829956055, 0.4755665730836416], [4, 1GB, 5GB, 16MB]
31: [0.3633311688899994, 0.12620532161439946, 0.9756437540054321, 0.1270293935724024], [4, 628MB, 5GB, 7MB]
32: [0.23326586186885834, 0.10310443885564724, 0.9455532358421244, 0.881232246338927], [3, 537MB, 5GB, 26MB]
33: [0.9304865334026656, 0.7166778860553562, 0.4241114854812622, 0.9825471639633179], [8, 2GB, 4GB, 29MB]
34: [0.42599281668663025, 0.9999729990959167, 0.004348317161202431, 0.5092724471639539], [5, 3GB, 4GB, 17MB]
35: [0.6303144424842815, 0.8553773760795593, 0.0013809353113174438, 0.992502748966217], [6, 3GB, 4GB, 29MB]
36: [0.8351967334747314, 0.37342370735353736, 0.12395801395177841, 0.873276070344208], [7, 1GB, 4GB, 26MB]
37: [0.5842936038970947, 0.35782695934169106, 0.4442501962184906, 0.8716123104095459], [6, 1GB, 4GB, 26MB]
38: [0.5298516750335693, 0.21839669346809387, 0.7556861489509374, 0.3764041595819979], [5, 994MB, 5GB, 13MB]
39: [0.5892537832260132, 0.4518418610095978, 0.9011395352502948, 0.9999998807907104], [6, 1GB, 5GB, 29MB]
40: [0.81606125831604, 0.2464798241853714, 0.6924987435340881, 0.10646052201186085], [7, 1GB, 5GB, 6MB]
41: [0.48563945293426514, 0.10200756788253784, 0.0226804761247833, 0.3063372028662724], [5, 532MB, 4GB, 11MB]
42: [0.5632751101398661, 0.9192789793014526, 4.8806818142566044e-08, 0.18326634939267783], [5, 3GB, 4GB, 8MB]
43: [0.6123674294689488, 0.64290851354599, 0.686180075331102, 0.9999960660934448], [6, 2GB, 5GB, 29MB]
44: [0.8564774570595708, 0.6923451434159611, 0.0005558250122703612, 0.6647433339043061], [7, 2GB, 4GB, 21MB]
45: [0.7646201252937317, 0.0009964676573872566, 3.301114020359819e-06, 0.000477003981359303], [7, 131MB, 4GB, 4MB]
46: [0.3514052629470825, 0.9514888651736451, 0.07616254819602797, 0.9999155402183533], [4, 3GB, 4GB, 29MB]
47: [0.5482860207557678, 0.1684408336877823, 0.9998865127563477, 1.0], [5, 796MB, 5GB, 30MB]
48: [0.46623119711875916, 0.31359151005744934, 0.7203472479309528, 0.2776149982333721], [5, 1GB, 5GB, 11MB]
49: [0.46976807713508606, 0.9015688962489394, 0.640912812426245, 1.0], [5, 3GB, 5GB, 30MB]
